BROADCAST	MaLong-Shorts10s	10	r2://ponglens-raw/2b7c6b31-8720-4a50-9ac9-d1b15c0f3020/a59d6b3d-4c08-447c-8c53-a19b302917b6.mp4
BROADCAST	MaLong-Lebrun	1805	r2://ponglens-raw/6925c545-1dda-4b3e-9fe4-a021dd0382fe/e3f5682f-39fe-4bcc-9154-fe69cdf21af1.mp4
BROADCAST	MaLong-Calderano	1736	r2://ponglens-raw/4b3ec90a-d715-40c1-bbf4-7059fbf96365/9130a849-040e-4915-bc54-b4b5deb18f95.mp4
BROADCAST	Batra-Ito	1008	r2://ponglens-raw/4b3ec90a-d715-40c1-bbf4-7059fbf96365/f42d4a7f-9728-4d0a-98fd-c99b76cd979e.mp4
BROADCAST	Lebrun-Calderano	1254	r2://ponglens-raw/2b7c6b31-8720-4a50-9ac9-d1b15c0f3020/3f283e62-c414-4472-8118-a25382eddd3d.mp4
BROADCAST	Top14-Rallies	451	r2://ponglens-raw/6925c545-1dda-4b3e-9fe4-a021dd0382fe/af821023-8a42-4588-8c8c-6e98212899d1.mp4
UNKNOWN	Indore-U13	645	r2://ponglens-raw/2b7c6b31-8720-4a50-9ac9-d1b15c0f3020/e5156bee-8050-4a9a-b8d6-4367627672c8.mp4
AMATEUR	LYTTC-8047	2370	r2://ponglens-raw/a2e61027-2ee9-4026-a058-dc07441ee633/3e6b2e0a-d706-4fd9-ba22-16d721f4af45.mov
AMATEUR	LYTTC-8049	1122	r2://ponglens-raw/a2e61027-2ee9-4026-a058-dc07441ee633/30143bae-f468-4791-8a0c-0539a5186f2d.mov
AMATEUR	Matchpoint-8680	760	r2://ponglens-raw/a2e61027-2ee9-4026-a058-dc07441ee633/523dfdd8-4c87-4977-8868-8eae0a19dd9f.mov
AMATEUR	Pingpod-2485	1152	r2://ponglens-raw/a2e61027-2ee9-4026-a058-dc07441ee633/9c4a4b04-c760-4cdd-a1ae-c7611e8b698b.mov
AMATEUR	Pingpod-8639a	952	r2://ponglens-raw/a2e61027-2ee9-4026-a058-dc07441ee633/6ee72609-62d1-431d-a0b8-f2b3a3daca19.mov
AMATEUR	Pingpod-8639b	952	r2://ponglens-raw/a2e61027-2ee9-4026-a058-dc07441ee633/6b42608e-43e0-411b-9f26-3eac50efc235.mov
AMATEUR	Pingpod-iOS-43091	736	r2://ponglens-raw/a2e61027-2ee9-4026-a058-dc07441ee633/7a63c7d8-8fe6-40ba-a532-5dbebbd193d8.mov
AMATEUR	Pingpod-iOS-5D0F	795	r2://ponglens-raw/a2e61027-2ee9-4026-a058-dc07441ee633/74679014-3955-4c73-9528-648e3c3ea981.mov
AMATEUR	Pingpod-iOS-EF31	1264	r2://ponglens-raw/a2e61027-2ee9-4026-a058-dc07441ee633/6a2a02af-3d4a-43d4-ac3c-d5d6bc4d52d3.mov
AMATEUR	Pingpod-iOS-EFE3	428	r2://ponglens-raw/a2e61027-2ee9-4026-a058-dc07441ee633/c09ef08a-0b33-47d8-8afd-71362882b10f.mov
AMATEUR	Pingpod-iOS-F2E5	649	r2://ponglens-raw/a2e61027-2ee9-4026-a058-dc07441ee633/bde704ee-2d38-4ef9-bf66-4ca7cc4e10d4.mov
AMATEUR	Dobro-8643	1228	r2://ponglens-raw/a2e61027-2ee9-4026-a058-dc07441ee633/21ebb0a7-d4fb-4a03-99f0-56d8ebcc0e73.mov
AMATEUR	Dobro-8645	994	r2://ponglens-raw/a2e61027-2ee9-4026-a058-dc07441ee633/e60a29ab-1367-4b5d-b797-e0ce741b0076.mov
AMATEUR	Dobro-8648	1003	r2://ponglens-raw/a2e61027-2ee9-4026-a058-dc07441ee633/2f060157-09f9-4930-ac17-2ce23d9691b1.mov
AMATEUR	Dobro-8650	755	r2://ponglens-raw/a2e61027-2ee9-4026-a058-dc07441ee633/8a860681-5914-4a98-a0bb-1c768785d0b5.mov
AMATEUR	Westch-8677	960	r2://ponglens-raw/a2e61027-2ee9-4026-a058-dc07441ee633/fea2fe17-7021-421e-bb44-18c19cf9eaf8.mov
AMATEUR	Westch-8680	760	r2://ponglens-raw/a2e61027-2ee9-4026-a058-dc07441ee633/4e3fe46e-513d-40d9-a23d-f2813838b90d.mov
AMATEUR	U2-LYTTC-0291	789	r2://ponglens-raw/85008d62-ea1c-4631-9387-14778c669624/ced0dada-5aa7-46ef-8c2a-e22084df0312.mov
AMATEUR	U2-0288	724	r2://ponglens-raw/85008d62-ea1c-4631-9387-14778c669624/85702ac7-6a92-45a0-a45f-53fe5a3826e7.mov
AMATEUR	U2-LYTTC-0289	1334	r2://ponglens-raw/85008d62-ea1c-4631-9387-14778c669624/fcd9779d-f62a-41ea-ad54-e91893a20b65.mov
AMATEUR	U2-LYTTC-0307	1605	r2://ponglens-raw/85008d62-ea1c-4631-9387-14778c669624/8a78fbd8-194e-40e9-afd4-06dcbb9ae711.mov
AMATEUR	U2-LYTTC-0305	591	r2://ponglens-raw/85008d62-ea1c-4631-9387-14778c669624/2c282b5b-621e-4a57-ba9c-2f809ae0c34c.mov
